Application,Launcher,Path,Icon Name
Battery Monitor,mb-applet-battery,miniapm.png,miniapm
Battery Monitor (batmon),batmon,/usr/lib/GNUstep/Applications/batmon.app/Resources/Batmon_icon.tiff,batmon_icon
BEAST,beast,beast.png,beast
Beat Hazard,Beat Hazard,steam,steam_icon_49600
Beat Hazard 2,Beat Hazard 2,steam,steam_icon_49610
Bibfilex,Bibfilex,/opt/bibfilex/icon.png,bibfilex
Bibfilex,bibfilex-qt,/opt/bibfilex/icon.png,bibfilex
Bibfilex,bibfilex-gtk,/opt/bibfilex/icon.png,bibfilex
BibShelf Book Manager,bibshelf,/usr/share/bibshelf/book.png,bibshelf
Biniax-2,biniax2,/usr/share/games/biniax2/graphics/logo.png,biniax2
BioShock Infinite,BioShock Infinite,steam,steam_icon_8870
BitDefender,bitdefender,/opt/BitDefender-scanner/share/doc/examples/icons/hicolor/128x128/apps/bitdefender.png,bitdefender
BitPim,bitpim,/usr/share/bitpim/resources/bitpim.ico,bitpim
Bitwig Studio,bitwig-studio,/usr/share/icons/hicolor/scalable/apps/bitwig-studio.svg,bitwig-studio
Blam,blam,blam.png,blam
BlockOut II,blockout2,/usr/share/games/blockout2/icon.xpm,blockout2
BlueJ,bluej,/usr/share/java/bluej/images/bluej-icon-48.png,bluej
BlueWho,bluewho,/usr/share/bluewho/data/bluewho.svg,bluewho
Bokken,bokken,/usr/share/pyshared/bokken/ui/data/bokken.svg,bokken
Boot Repair,boot-repair,/usr/share/boot-sav/x-boot-repair.png,x-boot-repair
bpython,bpython,/usr/share/pixmaps/python.xpm,bpython
Brewtarget,brewtarget,/usr/share/icons/brewtarget/brewtarget_icon.svg,brewtarget_icon
Briquolo,briquolo,/usr/share/pixmaps/briquolo.svg,briquolo
Browse Mirrored Websites,WebHTTrack-Websites,/usr/share/httrack/icons/webhttrack.xpm,webhttrack
Browser,webbrowser-app,/usr/share/webbrowser-app/webbrowser-app.png,webbrowser-app
Budgie Desktop,budgie-desktop,,distributor-logo-budgie
Bugsx,bugsx,bugsx.xpm,bugsx
Bygfoot Football Manager,bygfoot,bygfoot.xpm,bygfoot
Cain,cain,/usr/share/cain/gui/icons/cain.png,cain
Calendar Indicator,calendar-indicator,/opt/extras.ubuntu.com/calendar-indicator/share/pixmaps/calendar-indicator.svg,office-calendar
Camera,Camera,/usr/lib/GNUstep/Applications/Camera.app/Resources/Camera.png,Camera
Camera Monitor,cameramonitor,/usr/share/cameramonitor/cameramonitor.png,cameramonitor
Camera Monitor Preferences,cameramonitor-prefs,/usr/share/cameramonitor/cameramonitor.png,cameramonitor
Canorus,canorus,/usr/share/canorus/images/clogosm.png,clogosm
Cecilia,cecilia,/usr/share/pixmaps/cecilia.png,cecilia
Cenon,Cenon,/usr/lib/GNUstep/Applications/Cenon.app/Resources/Cenon.tiff,cenon.app
Chamo,chamo,chamo.png,chamo
Charmap,Charmap,/usr/lib/GNUstep/Applications/Charmap.app/Resources/Charmap.png,Charmap
ChartGeany,chartgeany,/opt/chartgeany/chartgeany.png,chartgeany
Checkbox,checkbox-converged,checkbox-touch.svg,checkbox-touch
CherryTree,cherrytree,/usr/share/icons/hicolor/scalable/apps/cherrytree.svg,cherrytree
Cinnamon,cinnamon,,cinnamon
Cinnamon (Software Rendering),cinnamon2d,,cinnamon
Cisco Packet Tracer,Cisco-PacketTracer,/opt/pt/art/app.png,packettracer
Cities in Motion 2,Cities in Motion 2,steam,steam_icon_225420
CLAM Chordata,Chordata,/usr/share/pixmaps/clam-chordata.xpm,clam-chordata
CLAM Network Editor,NetworkEditor,/usr/share/pixmaps/clam-networkeditor.xpm,clam-networkeditor
CLAM Prototyper,Prototyper,/usr/share/pixmaps/clam-prototyper.xpm,clam-prototyper
Classified ads,classified-ads,/usr/share/app-install/icons/turt-transparent-128x128.png,turt
Classrooom control,controlaula,/usr/share/pixmaps/controlaula.png,controlaula
Clion IDE,clion,/opt/clion/bin/clion.svg,clion
Clion IDE,jetbrains-clion,hardcoded,clion
ClipGrab,clipgrab,/usr/share/pixmaps/clipgrab.png,clipgrab
Clock,mb-applet-clock,minitime.png,minitime
Cluster Management,system-config-cluster,/usr/share/system-config-cluster/pixmaps/node.png,system-config-cluster
ClusterSSH,clusterssh,/usr/share/pixmaps/clusterssh-32x32.xpm,clusterssh
Code of Conduct Signing Assistant,codeOfConductSigningAssistant,/usr/share/icons/hicolor/scalable/apps/codeOfConductSigningAssistant.svg,codeOfConductSigningAssistant
Codelite,codelite,/usr/share/codelite/images/cubes.png,codelite
CodFis,codfis,/usr/share/pixmaps/codfis.xpm,codfis
ColorCode,colorcode,/usr/share/pixmaps/colorcode32.xpm,colorcode32
colorname,colorname,/usr/share/pixmaps/colorname.xpm,colorname
Commodore 128,x128,/usr/share/pixmaps/c128icon-32x28.xpm,c128
Commodore 64,x64,/usr/share/pixmaps/c64icon-32x28.xpm,c64
Commodore CBM-II,xcbm2,/usr/share/pixmaps/cbm2icon-32x28.xpm,cbm2
Commodore PET,xpet,/usr/share/pixmaps/peticon-32x28.xpm,pet
Commodore Plus/4,xplus4,/usr/share/pixmaps/plus4icon-32x28.xpm,plus4
Commodore VIC-20,xvic,/usr/share/pixmaps/vic20icon-32x28.xpm,vic20
Configure authentication for ROSA tools,lxqt_draksec,/usr/share/mcc/themes/default/draksec-mdk.png,draksec-mdk
Configure updates frequency,lxqt_update-freq,/usr/share/mcc/themes/default/mdkonline-mdk.png,mdkonline-mdk
Configure-Debian,configure-debian,/usr/share/pixmaps/configure-debian-48x48.png,configure-debian
Conky Manager,conky-manager,/usr/share/pixmaps/conky-manager.png,conky-manager
Contacts,address-book-app,/usr/share/address-book-app/artwork/address-book-app.png,address-book-app
Content Hub Clipboard,content-hub-clipboard,,content-hub-clipboard
Content Hub Peer Picker,content-hub-peer-picker,,content-hub-peer-picker
Content Hub Send,content-hub-send,,content-hub-send
ConvertAmicasJPEG2000FilesetToDicom,ConvertAmicasJPEG2000FilesetToDicom,/usr/share/pixelmed/icons/ConvertAmicasJPEG2000FilesetToDicom.png,ConvertAmicasJPEG2000FilesetToDicom
Copy,copy,/usr/share/icons/hicolor/scalable/apps/copyagent.svg,copyagent
Copy,copy,/usr/share/icons/hicolor/scalable/apps/copy.svg,copy
Copy,CopyAgent,/usr/share/icons/hicolor/scalable/apps/copyagent.svg,copyagent
Cordova Example QRCodeScanner,CordovaExampleQRCodeScanner,/usr/share/cordova-ubuntu-2.8/examples/qrcode-scanner/img/qrcode.png,qrcode
cordova-ubuntu-tests,cordova-ubuntu-tests,/usr/share/cordova-ubuntu-tests/cordovaqt64.png,cordovaqt
Corel AfterShot 3(64-bit),AfterShot3X64,/usr/share/pixmaps/AfterShot3X64.png,AfterShot3X64
CoverGloobus,covergloobus,/usr/share/covergloobus/images/covergloobus.png,covergloobus
CPU/Mem Monitor,mb-applet-system-monitor,minisys.png,minisys
CQRLOG,cqrlog,cqrlog.png,cqrlog
Crashplan,crashplan,/usr/local/crashplan/skin/icon_app_128x128.png,crashplan
Crashplan,crashplan,/opt/crashplan/skin/icon_app_64x64.png,crashplan
CRON-o-Meter,cronometer,/usr/share/pixmaps/cronometer.png,cronometer
CrossFTP,crossftp,/usr/share/crossftp/logo_big.png,crossftp
Cura,cura,/usr/share/cura/resources/images/c.png,cura
Cyclograph,cyclograph-gtk3,cyclograph.png,cyclograph
Cyclograph,cyclograph-qt,cyclograph.png,cyclograph
Cynthiune,Cynthiune,/usr/lib/GNUstep/Applications/Cynthiune.app/Resources/Cynthiune.tiff,cynthiune.app
Cytadela,cytadela,cytadela.png,cytadela
DarkRadiant,darkradiant,/usr/share/darkradiant/bitmaps/darkradiant_icon_64x64.png,darkradiant
DataGrip,datagrip,/opt/datagrip/bin/product.png,datagrip
DBModeler,DBModeler,/usr/share/GNUstep/DBModeler.app/DBModeler.tiff,DBModeler
dc-qt,dc-qt,/usr/share/pixmaps/dc-qt.xpm,dc-qt
Desktop Flickr Organizer,dfo,/usr/share/dfo/icons/FontBookSquareThumbnail.png,FontBookSquareThumbnail
Desura,desura,hardcoded,desura
Desura,desura,n/a,desura
DicomCleaner,DicomCleaner,/usr/share/pixelmed/icons/DicomCleaner.png,DicomCleaner
DicomImageBlackout,DicomImageBlackout,/usr/share/pixelmed/icons/DicomImageBlackout.png,DicomImageBlackout
DicomImageViewer,DicomImageViewer,/usr/share/pixelmed/icons/DicomImageViewer.png,DicomImageViewer
Dictionary Reader,DictionaryReader,/usr/lib/GNUstep/Applications/DictionaryReader.app/Resources/dict.png,dict
DiffPDF,diffpdf,/usr/share/pixmaps/diffpdf.png,diffpdf
diffpdf,diffpdf,/usr/share/pixmaps/diffpdf.png,diffpdf
Dino,dino,/usr/share/dino/head.png,head
Dire Wolf,direwolf,/usr/share/direwolf/dw-icon.png,dw-icon
Discord Canary,DiscordCanary,/usr/share/pixmaps/discord-canary.png,discord-canary
dkopp,dkopp,/usr/share/dkopp/icons/dkopp.png,dkopp
Docear,docear,/usr/share/docear/docear.png,docear
